"tg","N","prob","w1","w2","w3"
"a night of",5,2.13990254883793e-06,"a","night","of"
"a night out",6,2.56788305860551e-06,"a","night","out"
"a nine year",5,2.13990254883793e-06,"a","nine","year"
"a no vote",6,2.56788305860551e-06,"a","no","vote"
"a non profit",10,4.27980509767585e-06,"a","non","profit"
"a not so",5,2.13990254883793e-06,"a","not","so"
"a note of",6,2.56788305860551e-06,"a","note","of"
"a note to",6,2.56788305860551e-06,"a","note","to"
"a number of",91,3.89462263888502e-05,"a","number","of"
"a once in",5,2.13990254883793e-06,"a","once","in"
"a one day",6,2.56788305860551e-06,"a","one","day"
"a one night",5,2.13990254883793e-06,"a","one","night"
"a one time",9,3.85182458790827e-06,"a","one","time"
"a pack of",10,4.27980509767585e-06,"a","pack","of"
"a pain in",8,3.42384407814068e-06,"a","pain","in"
"a pair of",59,2.52508500762875e-05,"a","pair","of"
"a panel of",6,2.56788305860551e-06,"a","panel","of"
"a parking lot",5,2.13990254883793e-06,"a","parking","lot"
"a part in",5,2.13990254883793e-06,"a","part","in"
"a part of",73,3.12425772130337e-05,"a","part","of"
"a part time",14,5.99172713674619e-06,"a","part","time"
"a participant in",8,3.42384407814068e-06,"a","participant","in"
"a party in",7,2.9958635683731e-06,"a","party","in"
"a passion for",8,3.42384407814068e-06,"a","passion","for"
"a peace officer",6,2.56788305860551e-06,"a","peace","officer"
"a peek at",5,2.13990254883793e-06,"a","peek","at"
"a percent increase",13,5.56374662697861e-06,"a","percent","increase"
"a percent reduction",5,2.13990254883793e-06,"a","percent","reduction"
"a percentage of",6,2.56788305860551e-06,"a","percentage","of"
"a perfect fit",7,2.9958635683731e-06,"a","perfect","fit"
"a period of",18,7.70364917581653e-06,"a","period","of"
"a person in",5,2.13990254883793e-06,"a","person","in"
"a person is",5,2.13990254883793e-06,"a","person","is"
"a person of",6,2.56788305860551e-06,"a","person","of"
"a person who",15,6.41970764651378e-06,"a","person","who"
"a person with",8,3.42384407814068e-06,"a","person","with"
"a phone call",14,5.99172713674619e-06,"a","phone","call"
"a photo of",15,6.41970764651378e-06,"a","photo","of"
"a photo shoot",7,2.9958635683731e-06,"a","photo","shoot"
"a pic of",13,5.56374662697861e-06,"a","pic","of"
"a picture and",5,2.13990254883793e-06,"a","picture","and"
"a picture of",53,2.2682967017682e-05,"a","picture","of"
"a picture with",6,2.56788305860551e-06,"a","picture","with"
"a piece of",52,2.22549865079144e-05,"a","piece","of"
"a pile of",8,3.42384407814068e-06,"a","pile","of"
"a pinch of",5,2.13990254883793e-06,"a","pinch","of"
"a pint of",5,2.13990254883793e-06,"a","pint","of"
"a place for",8,3.42384407814068e-06,"a","place","for"
"a place in",5,2.13990254883793e-06,"a","place","in"
"a place of",12,5.13576611721102e-06,"a","place","of"
"a place that",6,2.56788305860551e-06,"a","place","that"
"a place to",32,1.36953763125627e-05,"a","place","to"
"a place where",19,8.13162968558412e-06,"a","place","where"
"a plan for",8,3.42384407814068e-06,"a","plan","for"
"a plan to",16,6.84768815628136e-06,"a","plan","to"
"a plastic bag",5,2.13990254883793e-06,"a","plastic","bag"
"a plate of",6,2.56788305860551e-06,"a","plate","of"
"a player and",5,2.13990254883793e-06,"a","player","and"
"a pleasure to",5,2.13990254883793e-06,"a","pleasure","to"
"a plethora of",5,2.13990254883793e-06,"a","plethora","of"
"a point of",8,3.42384407814068e-06,"a","point","of"
"a point to",5,2.13990254883793e-06,"a","point","to"
"a point where",9,3.85182458790827e-06,"a","point","where"
"a police officer",12,5.13576611721102e-06,"a","police","officer"
"a political party",5,2.13990254883793e-06,"a","political","party"
"a pool of",5,2.13990254883793e-06,"a","pool","of"
"a portion of",12,5.13576611721102e-06,"a","portion","of"
"a position that",5,2.13990254883793e-06,"a","position","that"
"a position to",7,2.9958635683731e-06,"a","position","to"
"a post about",5,2.13990254883793e-06,"a","post","about"
"a pot of",9,3.85182458790827e-06,"a","pot","of"
"a prayer for",5,2.13990254883793e-06,"a","prayer","for"
"a press conference",9,3.85182458790827e-06,"a","press","conference"
"a pretty good",24,1.0271532234422e-05,"a","pretty","good"
"a preview of",9,3.85182458790827e-06,"a","preview","of"
"a problem i",5,2.13990254883793e-06,"a","problem","i"
"a problem in",5,2.13990254883793e-06,"a","problem","in"
"a problem that",5,2.13990254883793e-06,"a","problem","that"
"a problem with",22,9.41557121488687e-06,"a","problem","with"
"a process of",5,2.13990254883793e-06,"a","process","of"
"a process that",5,2.13990254883793e-06,"a","process","that"
"a product that",5,2.13990254883793e-06,"a","product","that"
"a professor at",6,2.56788305860551e-06,"a","professor","at"
"a professor of",9,3.85182458790827e-06,"a","professor","of"
"a program that",10,4.27980509767585e-06,"a","program","that"
"a project like",5,2.13990254883793e-06,"a","project","like"
"a quarter of",11,4.70778560744344e-06,"a","quarter","of"
"a question about",10,4.27980509767585e-06,"a","question","about"
"a question of",5,2.13990254883793e-06,"a","question","of"
"a range of",20,8.5596101953517e-06,"a","range","of"
"a real estate",10,4.27980509767585e-06,"a","real","estate"
"a real life",7,2.9958635683731e-06,"a","real","life"
"a really bad",5,2.13990254883793e-06,"a","really","bad"
"a really good",24,1.0271532234422e-05,"a","really","good"
"a really long",5,2.13990254883793e-06,"a","really","long"
"a really nice",6,2.56788305860551e-06,"a","really","nice"
"a really really",5,2.13990254883793e-06,"a","really","really"
"a reason for",6,2.56788305860551e-06,"a","reason","for"
"a reason i",5,2.13990254883793e-06,"a","reason","i"
"a reason to",13,5.56374662697861e-06,"a","reason","to"
"a record and",5,2.13990254883793e-06,"a","record","and"
"a record for",5,2.13990254883793e-06,"a","record","for"
"a record of",5,2.13990254883793e-06,"a","record","of"
"a recording of",5,2.13990254883793e-06,"a","recording","of"
"a red card",5,2.13990254883793e-06,"a","red","card"
"a red light",5,2.13990254883793e-06,"a","red","light"
"a reduction in",6,2.56788305860551e-06,"a","reduction","in"
"a regular basis",7,2.9958635683731e-06,"a","regular","basis"
"a relationship with",9,3.85182458790827e-06,"a","relationship","with"
"a reminder that",7,2.9958635683731e-06,"a","reminder","that"
"a report on",7,2.9958635683731e-06,"a","report","on"
"a republican from",5,2.13990254883793e-06,"a","republican","from"
"a responsibility to",7,2.9958635683731e-06,"a","responsibility","to"
"a result of",49,2.09710449786117e-05,"a","result","of"
"a result the",7,2.9958635683731e-06,"a","result","the"
"a return to",5,2.13990254883793e-06,"a","return","to"
"a review of",12,5.13576611721102e-06,"a","review","of"
"a right to",11,4.70778560744344e-06,"a","right","to"
"a road trip",8,3.42384407814068e-06,"a","road","trip"
"a role in",6,2.56788305860551e-06,"a","role","in"
"a role model",9,3.85182458790827e-06,"a","role","model"
"a room full",6,2.56788305860551e-06,"a","room","full"
"a roster of",5,2.13990254883793e-06,"a","roster","of"
"a round of",7,2.9958635683731e-06,"a","round","of"
"a row and",5,2.13990254883793e-06,"a","row","and"
"a run for",7,2.9958635683731e-06,"a","run","for"
"a run in",5,2.13990254883793e-06,"a","run","in"
"a run of",6,2.56788305860551e-06,"a","run","of"
"a run to",8,3.42384407814068e-06,"a","run","to"
"a safe and",8,3.42384407814068e-06,"a","safe","and"
"a san francisco",8,3.42384407814068e-06,"a","san","francisco"
"a scene from",5,2.13990254883793e-06,"a","scene","from"
"a sea of",10,4.27980509767585e-06,"a","sea","of"
"a second chance",5,2.13990254883793e-06,"a","second","chance"
"a second i",6,2.56788305860551e-06,"a","second","i"
"a second opinion",6,2.56788305860551e-06,"a","second","opinion"
"a second round",6,2.56788305860551e-06,"a","second","round"
"a second term",5,2.13990254883793e-06,"a","second","term"
"a selection of",6,2.56788305860551e-06,"a","selection","of"
"a self taught",5,2.13990254883793e-06,"a","self","taught"
"a sense of",50,2.13990254883793e-05,"a","sense","of"
"a series of",76,3.25265187423365e-05,"a","series","of"
"a set of",24,1.0271532234422e-05,"a","set","of"
"a set up",5,2.13990254883793e-06,"a","set","up"
"a shift in",6,2.56788305860551e-06,"a","shift","in"
"a shit about",5,2.13990254883793e-06,"a","shit","about"
"a shock to",5,2.13990254883793e-06,"a","shock","to"
"a short story",6,2.56788305860551e-06,"a","short","story"
"a short term",6,2.56788305860551e-06,"a","short","term"
"a short time",11,4.70778560744344e-06,"a","short","time"
"a short walk",5,2.13990254883793e-06,"a","short","walk"
"a shot at",7,2.9958635683731e-06,"a","shot","at"
"a shot of",13,5.56374662697861e-06,"a","shot","of"
"a shout out",17,7.27566866604895e-06,"a","shout","out"
"a show called",5,2.13990254883793e-06,"a","show","called"
"a show of",9,3.85182458790827e-06,"a","show","of"
"a side note",7,2.9958635683731e-06,"a","side","note"
"a side of",5,2.13990254883793e-06,"a","side","of"
"a sign of",10,4.27980509767585e-06,"a","sign","of"
"a sign that",14,5.99172713674619e-06,"a","sign","that"
"a single word",7,2.9958635683731e-06,"a","single","word"
"a six pack",6,2.56788305860551e-06,"a","six","pack"
"a six year",7,2.9958635683731e-06,"a","six","year"
"a slice of",9,3.85182458790827e-06,"a","slice","of"
"a small amount",7,2.9958635683731e-06,"a","small","amount"
"a small bowl",5,2.13990254883793e-06,"a","small","bowl"
"a small business",5,2.13990254883793e-06,"a","small","business"
"a small number",5,2.13990254883793e-06,"a","small","number"
"a small part",6,2.56788305860551e-06,"a","small","part"
"a small town",11,4.70778560744344e-06,"a","small","town"
"a smile on",8,3.42384407814068e-06,"a","smile","on"
"a social media",5,2.13990254883793e-06,"a","social","media"
"a song that",5,2.13990254883793e-06,"a","song","that"
"a sort of",19,8.13162968558412e-06,"a","sort","of"
"a source of",8,3.42384407814068e-06,"a","source","of"
"a spokesman for",27,1.15554737637248e-05,"a","spokesman","for"
"a spokeswoman for",14,5.99172713674619e-06,"a","spokeswoman","for"
"a spot in",5,2.13990254883793e-06,"a","spot","in"
"a spot on",5,2.13990254883793e-06,"a","spot","on"
"a square foot",14,5.99172713674619e-06,"a","square","foot"
"a state of",15,6.41970764651378e-06,"a","state","of"
"a statement from",5,2.13990254883793e-06,"a","statement","from"
"a statement released",9,3.85182458790827e-06,"a","statement","released"
"a statement that",13,5.56374662697861e-06,"a","statement","that"
"a statement the",6,2.56788305860551e-06,"a","statement","the"
"a statement to",5,2.13990254883793e-06,"a","statement","to"
"a story about",13,5.56374662697861e-06,"a","story","about"
"a story that",9,3.85182458790827e-06,"a","story","that"
"a string of",9,3.85182458790827e-06,"a","string","of"
"a strong and",5,2.13990254883793e-06,"a","strong","and"
"a student at",8,3.42384407814068e-06,"a","student","at"
"a student of",7,2.9958635683731e-06,"a","student","of"
"a super bowl",13,5.56374662697861e-06,"a","super","bowl"
"a symbol of",8,3.42384407814068e-06,"a","symbol","of"
"a tale of",9,3.85182458790827e-06,"a","tale","of"
"a taste of",8,3.42384407814068e-06,"a","taste","of"
"a team of",9,3.85182458790827e-06,"a","team","of"
"a team that",12,5.13576611721102e-06,"a","team","that"
"a teaspoon of",5,2.13990254883793e-06,"a","teaspoon","of"
"a teenage girl",5,2.13990254883793e-06,"a","teenage","girl"
"a tendency to",7,2.9958635683731e-06,"a","tendency","to"
"a testament to",5,2.13990254883793e-06,"a","testament","to"
"a th century",5,2.13990254883793e-06,"a","th","century"
"a thank you",8,3.42384407814068e-06,"a","thank","you"
"a thing for",6,2.56788305860551e-06,"a","thing","for"
"a thing or",7,2.9958635683731e-06,"a","thing","or"
"a thing to",6,2.56788305860551e-06,"a","thing","to"
"a third down",5,2.13990254883793e-06,"a","third","down"
"a third of",16,6.84768815628136e-06,"a","third","of"
"a third party",5,2.13990254883793e-06,"a","third","party"
"a thousand words",5,2.13990254883793e-06,"a","thousand","words"
"a thousand years",5,2.13990254883793e-06,"a","thousand","years"
"a threat to",5,2.13990254883793e-06,"a","threat","to"
"a three game",5,2.13990254883793e-06,"a","three","game"
"a three run",6,2.56788305860551e-06,"a","three","run"
"a three year",11,4.70778560744344e-06,"a","three","year"
"a thumbs up",6,2.56788305860551e-06,"a","thumbs","up"
"a ticket for",8,3.42384407814068e-06,"a","ticket","for"
"a time and",6,2.56788305860551e-06,"a","time","and"
"a time i",11,4.70778560744344e-06,"a","time","i"
"a time of",19,8.13162968558412e-06,"a","time","of"
"a time the",8,3.42384407814068e-06,"a","time","the"
"a time to",9,3.85182458790827e-06,"a","time","to"
"a time when",33,1.41233568223303e-05,"a","time","when"
"a to m",38,1.62632593711682e-05,"a","to","m"
"a toll on",5,2.13990254883793e-06,"a","toll","on"
"a ton of",49,2.09710449786117e-05,"a","ton","of"
"a total of",31,1.32673958027951e-05,"a","total","of"
"a touch of",11,4.70778560744344e-06,"a","touch","of"
"a tough time",5,2.13990254883793e-06,"a","tough","time"
"a tour of",8,3.42384407814068e-06,"a","tour","of"
"a tribute to",8,3.42384407814068e-06,"a","tribute","to"
"a trio of",7,2.9958635683731e-06,"a","trio","of"
"a trip to",31,1.32673958027951e-05,"a","trip","to"
"a try i",5,2.13990254883793e-06,"a","try","i"
"a tweet from",8,3.42384407814068e-06,"a","tweet","from"
"a two day",5,2.13990254883793e-06,"a","two","day"
"a two hour",5,2.13990254883793e-06,"a","two","hour"
"a two out",6,2.56788305860551e-06,"a","two","out"
"a two run",8,3.42384407814068e-06,"a","two","run"
"a two year",14,5.99172713674619e-06,"a","two","year"
"a university of",5,2.13990254883793e-06,"a","university","of"
"a variety of",68,2.91026746641958e-05,"a","variety","of"
"a very big",5,2.13990254883793e-06,"a","very","big"
"a very different",13,5.56374662697861e-06,"a","very","different"
"a very difficult",5,2.13990254883793e-06,"a","very","difficult"
"a very good",22,9.41557121488687e-06,"a","very","good"
"a very happy",6,2.56788305860551e-06,"a","very","happy"
"a very hard",6,2.56788305860551e-06,"a","very","hard"
"a very important",8,3.42384407814068e-06,"a","very","important"
"a very interesting",7,2.9958635683731e-06,"a","very","interesting"
"a very large",9,3.85182458790827e-06,"a","very","large"
"a very long",8,3.42384407814068e-06,"a","very","long"
"a very nice",13,5.56374662697861e-06,"a","very","nice"
"a very serious",6,2.56788305860551e-06,"a","very","serious"
"a very small",9,3.85182458790827e-06,"a","very","small"
"a very special",9,3.85182458790827e-06,"a","very","special"
"a very strong",9,3.85182458790827e-06,"a","very","strong"
"a very very",10,4.27980509767585e-06,"a","very","very"
"a victory for",5,2.13990254883793e-06,"a","victory","for"
"a victory over",7,2.9958635683731e-06,"a","victory","over"
"a video of",9,3.85182458790827e-06,"a","video","of"
"a view of",6,2.56788305860551e-06,"a","view","of"
"a visit to",12,5.13576611721102e-06,"a","visit","to"
"a walk to",9,3.85182458790827e-06,"a","walk","to"
"a waste of",17,7.27566866604895e-06,"a","waste","of"
"a wave of",5,2.13990254883793e-06,"a","wave","of"
"a way for",9,3.85182458790827e-06,"a","way","for"
"a way in",7,2.9958635683731e-06,"a","way","in"
"a way of",16,6.84768815628136e-06,"a","way","of"
"a way that",35,1.49793178418655e-05,"a","way","that"
"a way to",91,3.89462263888502e-05,"a","way","to"
"a wee bit",5,2.13990254883793e-06,"a","wee","bit"
"a week after",6,2.56788305860551e-06,"a","week","after"
"a week ago",12,5.13576611721102e-06,"a","week","ago"
"a week and",12,5.13576611721102e-06,"a","week","and"
"a week for",8,3.42384407814068e-06,"a","week","for"
"a week i",12,5.13576611721102e-06,"a","week","i"
"a week in",7,2.9958635683731e-06,"a","week","in"
"a week later",9,3.85182458790827e-06,"a","week","later"
"a week of",8,3.42384407814068e-06,"a","week","of"
"a week or",12,5.13576611721102e-06,"a","week","or"
"a week the",7,2.9958635683731e-06,"a","week","the"
"a week to",17,7.27566866604895e-06,"a","week","to"
"a weekend of",6,2.56788305860551e-06,"a","weekend","of"
"a well known",9,3.85182458790827e-06,"a","well","known"
"a while and",10,4.27980509767585e-06,"a","while","and"
"a while back",10,4.27980509767585e-06,"a","while","back"
"a while but",13,5.56374662697861e-06,"a","while","but"
"a while for",5,2.13990254883793e-06,"a","while","for"
"a while i",12,5.13576611721102e-06,"a","while","i"
"a while it",7,2.9958635683731e-06,"a","while","it"
"a while now",11,4.70778560744344e-06,"a","while","now"
